main_questions,main_responses,inflam_questions,inflam_responses,practice_questions,practice_response,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,inflam.thisRepN,inflam.thisTrialN,inflam.thisN,inflam.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,text_6.started,text_6.stopped,start_practice_discuss.keys,start_practice_discuss.rt,start_practice_discuss.started,start_practice_discuss.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,rest_text.started,rest_text.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,main_question.started,main_question.stopped,end_main_intro.keys,end_main_intro.rt,end_main_intro.started,end_main_intro.stopped,text_4.started,text_4.stopped,text_10.started,text_10.stopped,start_main_discuss.keys,start_main_discuss.rt,start_main_discuss.started,start_main_discuss.stopped,text_15.started,text_15.stopped,text_16.started,text_16.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,key_resp_4.rt,text_13.started,text_13.stopped,text_14.started,text_14.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,skip.keys,skip.rt,skip.started,skip.stopped,text_11.started,text_11.stopped,text_12.started,text_12.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_17.started,text_17.stopped,text_18.started,text_18.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,15.433671784994658,None,space,1.6860349120106548,15.433671784994658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
,,,,,,,,,,,,,,,,,,,,,,,,17.153690523002297,None,space,1.9911558510066243,17.153690523002297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.69038374700176,None,202.67112808598904,None,space,22.639100528002018,197.69038374700176,None,220.35334760599653,None,None,None,q,16.60590074599895,220.35334760599653,None,236.98614709899994,None,None,236.98614709899994,None,266.98563608199765,None,space,22.583133259002352,266.98563608199765,None,289.60485096900084,None,space,14.720460540993372,289.60485096900084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
What is the best way to start the day?,I'd have to say a cup of coffee and yoga outside. You just feel so relaxed and awake after! Do you have a special morning routine?,Should we raise the pass rate for classes to a B-?,As harsh as it sounds I think it would give the bachelors degree the same level of exclusivity it use to have which might not be bad. What do you think?,None,None,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.115926501996,None,None,331.115926501996,None,361.11533199899714,None,space,1.8839312959898962,361.11533199899714,None,,,,,,,304.36327363099554,None,309.35043547100213,None,space,8.851487738007563,304.36327363099554,None,313.23348014999647,None,None,None,q,17.856608215006418,313.23348014999647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
What quirks do you have?,"Haha, I guess I never walk under a ladder. I don't know why I just don't. Do you have any weird things you?",Do you think religion should or should not be integrated into education?,I think it should. I think a lot of people could benefit from having a role model in their life and something to lean on. Do you have an opinion on that?,Do you have any pet peeves?,Yes! Dishes in the sink are SO triggering! Do you have anything that annoys you like that?,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.49569196598895,None,None,426.49569196598895,None,456.49513340998965,None,space,40.98096445399278,456.49513340998965,None,,,,,,,363.03178928499983,None,368.0152259339957,None,space,22.08458358599455,363.03178928499983,None,385.1474905950017,None,None,None,q,41.32658384399838,385.1474905950017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
What is the best way to start the day?,I'd have to say a cup of coffee and yoga outside. You just feel so relaxed and awake after! Do you have a special morning routine?,Should we raise the pass rate for classes to a B-?,As harsh as it sounds I think it would give the bachelors degree the same level of exclusivity it use to have which might not be bad. What do you think?,None,None,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.05988568099565,None,q,503.05988568099565,None,503.90974601700145,None,space,1.5701320149964886,503.90974601700145,None,,,,,,,497.4956827959977,None,None,None,space,4.739201189004234,497.4956827959977,None,502.25987934799923,None,None,None,q,0.7764499900076771,502.25987934799923,None,0.8273318749997998,,,,,,,,,,,,,,,,,,,,,,,,,,,,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.50974371099437,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,11.097284144008881,505.50974371099437,None,,,,,,,,,,,,,,,,,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
What was the best vacation you’ve ever taken?,Oh man…that's hard. I guess this one time my family and I went to Yellowstone and rented a cabin. That was pretty awesome. Wbu?,Who do you think should have won the 2020 elections?,I honestly don't know. None of the canidates seemed that good tbh. What do you think?,What causes are you passionate about?,I really care about the planet…I know that sounds very basic but I really do think it deserves more attention. Do you have a cause you're passionate about?,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,569.5573481530009,None,None,None,q,2.813440775993513,569.5573481530009,None,572.3905327469984,None,None,572.3905327469984,None,602.38961891699,None,space,17.34958254499361,602.38961891699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.6401601589896,None,521.6259762789996,None,space,22.437188630006858,516.6401601589896,None,539.1087250900018,None,None,None,q,30.420781196007738,539.1087250900018,None,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
What would you rate 10/10,This ones easy. Skiing in Winter Park after a big snow storm. Wbu?,Should AI be allowed to make judicial decisions?,I really don't know… on one hand I think it would be more consistent on the other it seems a little dystopic. How do you feel about that?,None,None,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,701.1362602979934,None,None,None,q,1.833085962003679,701.1362602979934,None,702.9857899469935,None,None,702.9857899469935,None,732.9852637449949,None,space,36.02150318400527,732.9852637449949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.7600196249987,None,624.7556762210006,None,space,25.26131605199771,619.7600196249987,None,645.0381205509912,None,695.019941231003,None,q,56.07629332700162,645.0381205509912,None,07./06/22,001,2022-07-06_13h12.05.348,Anon_communication,2022.1.4,59.81519246871156,
